line	tomo	inv_no	shelfmark	date	place	sender	recipient	class	index_wording	key_route
56254	A	3684	A-28, f.230 a 233.	1523.06.13	Génova	Lope de Soria	Carlos V	P	Original, con algunos párrafos en cifra.	Ko.6 (Kolosova, subst. p.284, nomenclature p.307)
56270	A	3685	A-28, f.234 a 237.	1523.06.13	Génova	Lope de Soria	Carlos V	P	Original, con algunos párrafos en cifra.	Ko.6 (Kolosova, subst. p.284, nomenclature p.307)
56288	A	3686	A-28, f.238 a 241.	1523.06.13	Génova	Lope de Soria	Carlos V	D	Original, con algunos párrafos en cifra.	Ko.6 (Kolosova, subst. p.284, nomenclature p.307)
56306	A	3687	A-28, f.06.13.			Lope de Soria		D	Texto descifrado de los párrafos en cifra de las tres cartas anteriores (3684, 3685 y 3686), de	Ko.6 (Kolosova, subst. p.284, nomenclature p.307)
56338	A	3689	A-28, f.248 y 249.	1523.06.15	Génova	Lope de Soria	Carlos V	P	Carta de Lope de Soria, embajador de Carlos V en Génova, dirigida a éste, en cifra.	Ko.6 (Kolosova, subst. p.284, nomenclature p.307)
56348	A	3690	A-28, f.250 y 252.	1523.06.15	Génova	Lope de Soria	Carlos V	P	Carta de Lope de Soria, embajador de Carlos V en Génova, dirigida a éste, en cifra.	Ko.6 (Kolosova, subst. p.284, nomenclature p.307)
56358	A	3691	A-28, f.252 y 253.	1523.06.15	Génova	Lope de Soria		D	Original, en cifra.	Ko.6 (Kolosova, subst. p.284, nomenclature p.307)
56370	A	3692	A-28, f.254.	1523.06.15	Génova			D	Texto descifrado de las tres cartas anteriores (3689 a 3691), en las que comunicaba la	none known
56397	A	3694	A-28, f.258 y 259.	1523.06.16	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Original, en su mayor parte en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
56417	A	3695	A-28, f.260 y 261.	1523.06.15	, 1523.06.16. Génova, Roma			D	Texto descifrado de la parte escrita en cifra de las dos cartas anteriores (3693 y 3694), dirigidas a	none known
56627	A	3709	A-28, f.295.	1523.07.05	Nápoles	Charles de Lannoy	Carlos V	D	Texto descifrado de los párrafos en cifra de la carta que reseñamos en el número siguiente (3710),	Ko.5 (Kolosova)
56639	A	3710	A-28, f.296 y 297.	1523.07.05	Nápoles	Charles de Lannoy	Carlos V	P	Original, con parte en cifra.	Ko.5 (Kolosova)
56658	A	3711	A-28, f.300 a 302.	1523.07.05	Nápoles	Charles de Lannoy	Carlos V	D	Carta de Carlos de Lannoy, virrey de Nápoles, a Carlos V, en cifra.	Ko.5 (Kolosova)
56668	A	3712	A-28, f.303 y 304.	1523.07.05	Nápoles	Charles de Lannoy	Carlos V	D	Texto descifrado de la carta anterior (3711), de Carlos de Lannoy, virrey de Nápoles, a Carlos V,	Ko.5 (Kolosova)
56681	A	3713	A-28, f.305 y 306.	1523.07.05	Nápoles	Charles de Lannoy	Carlos V	D	Carta de Carlos de Lannoy, virrey de Nápoles, a Carlos V, en cifra.	Ko.5 (Kolosova)
56691	A	3714	A-28, f.307.	1523.07.05	Nápoles	Charles de Lannoy	Carlos V	D	Texto descifrado de la carta anterior (3713), de Carlos de Lannoy, virrey de Nápoles, a Carlos V,	Ko.5 (Kolosova)
56719	A	3716	A-28, f.313 a 318.	1523.07.07	Roma	Duke of Sessa (Luis Fernández)	Carlos V	P	Carta de Luis Fernández de Córdoba, duque de Sesa, a Carlos V, en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
56735	A	3717	A-28, f.319 a 325.	1523.07.07	Roma	Duke of Sessa (Luis Fernández)		D	Original, en cifra.	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
56747	A	3718	A-28, f.328 a 332.	1523.07.07	Roma	Duke of Sessa (Luis Fernández)	Carlos V	D	Texto descifrado de las dos cartas anteriores (3716 y 3717), de Luis Fernández de Córdoba, duque	Ko.1 (Kolosova) -- check overlap with Bourdeau sessa1524 (Signatura 9/28-9/34)
56827	A	3722	A-28, f.339 y 340.	1523.07.08	Roma	Lope Hurtado de Mendoza	Carlos V	D	Original, con algunos párrafos en cifra.	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
56841	A	3723	A-28, f.341 y 342.	1523.07.08	Roma	Lope Hurtado de Mendoza		D	Texto descifrado de los párrafos en cifra de la carta anterior (3722) de Lope Hurtado de Mendoza a	Ko.7 (Kolosova, subst. p.312, nomenclature p.333) / Ko.10 secondary
57020	A	3735	A-28, f.370 a 375.	1523.07.15	Nápoles	Charles de Lannoy	Carlos V	D	Carta de Carlos de Lannoy, virrey de Nápoles, a Carlos V, en cifra.	Ko.5 (Kolosova)
