line	pos	sign
hstam_4_h_1411_0023_L26	4	48
hstam_4_h_1411_0023_L26	5	25
hstam_4_h_1411_0023_L26	6	54
hstam_4_h_1411_0023_L26	7	16
hstam_4_h_1411_0023_L26	8	H
hstam_4_h_1411_0023_L26	9	70
hstam_4_h_1411_0023_L26	10	15
hstam_4_h_1411_0023_L26	11	60
hstam_4_h_1411_0023_L26	12	27
hstam_4_h_1411_0023_L26	13	55
hstam_4_h_1411_0023_L26	14	13
hstam_4_h_1411_0023_L26	15	18
hstam_4_h_1411_0023_L26	16	16
hstam_4_h_1411_0023_L26	17	zz
hstam_4_h_1411_0023_L26	18	27
hstam_4_h_1411_0023_L26	19	29
hstam_4_h_1411_0023_L26	20	30
hstam_4_h_1411_0023_L26	21	92
hstam_4_h_1411_0023_L26	22	73
hstam_4_h_1411_0023_L26	23	44
hstam_4_h_1411_0023_L26	24	11
hstam_4_h_1411_0023_L26	25	54
hstam_4_h_1411_0023_L26	26	27
hstam_4_h_1411_0023_L26	27	66
hstam_4_h_1411_0023_L26	28	29
hstam_4_h_1411_0023_L26	29	50
hstam_4_h_1411_0023_L26	30	73
hstam_4_h_1411_0023_L26	31	O
hstam_4_h_1411_0023_L26	32	61
hstam_4_h_1411_0023_L26	33	83
hstam_4_h_1411_0023_L26	34	83
hstam_4_h_1411_0023_L26	35	66
hstam_4_h_1411_0023_L26	36	41
hstam_4_h_1411_0023_L26	37	10
hstam_4_h_1411_0023_L26	38	16
hstam_4_h_1411_0023_L27	1	52
hstam_4_h_1411_0023_L27	2	55
hstam_4_h_1411_0023_L27	3	15
hstam_4_h_1411_0023_L27	4	79
hstam_4_h_1411_0023_L27	5	31
hstam_4_h_1411_0023_L27	6	37
hstam_4_h_1411_0023_L27	7	35
hstam_4_h_1411_0023_L27	8	99
hstam_4_h_1411_0023_L27	9	26
hstam_4_h_1411_0023_L27	10	49
hstam_4_h_1411_0023_L27	11	79
hstam_4_h_1411_0023_L27	12	84
hstam_4_h_1411_0023_L27	13	15
hstam_4_h_1411_0023_L27	14	10
hstam_4_h_1411_0023_L27	15	11
hstam_4_h_1411_0023_L27	16	54
hstam_4_h_1411_0023_L27	17	16
hstam_4_h_1411_0023_L27	18	39
hstam_4_h_1411_0023_L27	19	15
hstam_4_h_1411_0023_L27	20	16
hstam_4_h_1411_0023_L27	21	27
hstam_4_h_1411_0023_L27	22	70
hstam_4_h_1411_0023_L27	23	zz
hstam_4_h_1411_0023_L27	24	55
hstam_4_h_1411_0023_L27	25	44
hstam_4_h_1411_0023_L27	26	67
hstam_4_h_1411_0023_L27	27	84
hstam_4_h_1411_0023_L27	28	31
hstam_4_h_1411_0023_L27	29	44
hstam_4_h_1411_0023_L27	30	30
hstam_4_h_1411_0023_L27	31	X
hstam_4_h_1411_0023_L27	32	66
hstam_4_h_1411_0023_L27	33	49
hstam_4_h_1411_0023_L27	34	zz
hstam_4_h_1411_0023_L27	35	16
hstam_4_h_1411_0023_L27	36	zz
hstam_4_h_1411_0023_L27	37	26
hstam_4_h_1411_0023_L27	38	61
hstam_4_h_1411_0023_L27	39	zz
hstam_4_h_1411_0023_L28	1	5
hstam_4_h_1411_0023_L28	2	6
hstam_4_h_1411_0023_L28	3	O
hstam_4_h_1411_0023_L28	4	25
hstam_4_h_1411_0023_L28	5	G
hstam_4_h_1411_0023_L28	6	N
hstam_4_h_1411_0023_L28	7	13
hstam_4_h_1411_0023_L28	8	97
hstam_4_h_1411_0023_L28	9	39
hstam_4_h_1411_0023_L28	10	91
hstam_4_h_1411_0023_L28	11	43
hstam_4_h_1411_0023_L28	12	61
hstam_4_h_1411_0023_L28	13	92
hstam_4_h_1411_0023_L28	14	58
hstam_4_h_1411_0023_L28	15	25
hstam_4_h_1411_0023_L28	16	94
hstam_4_h_1411_0023_L28	17	90
hstam_4_h_1411_0023_L28	18	61
hstam_4_h_1411_0023_L28	19	26
hstam_4_h_1411_0023_L28	20	18
hstam_4_h_1411_0023_L28	21	84
hstam_4_h_1411_0023_L28	22	30
hstam_4_h_1411_0023_L28	23	32
hstam_4_h_1411_0023_L28	24	84
